Scaffold	chr
NTIC01000001.1	chr1
NTIC01011112.1	chr2
NTIC01022223.1	chr4
NTIC01033278.1	chr3
NTIC01034389.1	chr5
NTIC01035500.1	chr6
NTIC01036611.1	chr7
NTIC01038833.1	chrX
NTIC01038834.1	chr10
NTIC01000002.1	chr9
NTIC01001113.1	chr11
NTIC01002224.1	chr8
NTIC01003335.1	chr13
NTIC01004446.1	chr12
NTIC01005557.1	chr14
NTIC01006668.1	chr15
NTIC01007779.1	chr16
NTIC01008890.1	chr17
NTIC01010001.1	chr19
NTIC01011113.1	chr22
NTIC01012224.1	chr21
NTIC01013335.1	chr18
NTIC01014446.1	chr20
NTIC01015557.1	NTIC01015557.1_chr3
NTIC01038832.1	NTIC01038832.1_chrX
NTIC01016668.1	NTIC01016668.1_chr12
NTIC01017779.1	NTIC01017779.1_chrX 
